Symbol	ID	Name	Synonyms	Chromosome	Category
AZGP1	563	"alpha-2-glycoprotein 1, zinc-binding"	ZA2G|ZAG	7	Antigen_Processing_and_Presentation
B2M	567	beta-2-microglobulin	IMD43	15	Antigen_Processing_and_Presentation
CALR	811	calreticulin	CRT|HEL-S-99n|RO|SSA|cC1qR	19	Antigen_Processing_and_Presentation
CANX	821	calnexin	CNX|IP90|P90	5	Antigen_Processing_and_Presentation
CD1A	909	CD1a molecule	CD1|FCB6|HTA1|R4|T6	1	Antigen_Processing_and_Presentation
CD1B	910	CD1b molecule	CD1|CD1A|R1	1	Antigen_Processing_and_Presentation
CD1C	911	CD1c molecule	BDCA1|CD1|CD1A|R7	1	Antigen_Processing_and_Presentation
CD1D	912	CD1d molecule	CD1A|R3|R3G1	1	Antigen_Processing_and_Presentation
CD1E	913	CD1e molecule	CD1A|R2	1	Antigen_Processing_and_Presentation
CD4	920	CD4 molecule	CD4mut	12	Antigen_Processing_and_Presentation
CD8A	925	CD8a molecule	CD8|Leu2|p32	2	Antigen_Processing_and_Presentation
CD8B	926	CD8b molecule	CD8B1|LEU2|LY3|LYT3|P37	2	Antigen_Processing_and_Presentation
CD74	972	CD74 molecule	DHLAG|HLADG|II|Ia-GAMMA|p33	5	Antigen_Processing_and_Presentation
CREB1	1385	cAMP responsive element binding protein 1	CREB|CREB-1	2	Antigen_Processing_and_Presentation
CTSB	1508	cathepsin B	APPS|CPSB|RECEUP	8	Antigen_Processing_and_Presentation
CTSE	1510	cathepsin E	CATE	1	Antigen_Processing_and_Presentation
CTSL	1514	cathepsin L	CATL|CTSL1|MEP	9	Antigen_Processing_and_Presentation
CTSS	1520	cathepsin S	-	1	Antigen_Processing_and_Presentation
FCER1G	2207	Fc fragment of IgE receptor Ig	FCRG	1	Antigen_Processing_and_Presentation
FCGRT	2217	Fc fragment of IgG receptor and transporter	FCRN|alpha-chain	19	Antigen_Processing_and_Presentation
